Time,Z,Vz
1.68,1109.39300612827,-240.937103855624
1.69,1108.35030869298,-240.405435366418
1.7,1107.25865963011,-239.895551081536
1.7,1107.25865963011,-239.895551081536
1.71,1106.26916417917,-239.339762498775
1.72,1105.36226897976,-238.7467113039
1.72,1105.36226897976,-238.7467113039
1.73,1104.46612354847,-238.148241276433
1.74,1103.54681323881,-237.560634277442
1.74,1103.54681323881,-237.560634277442
1.75,1102.73724176302,-236.923531250624
1.76,1101.86474654363,-236.315087745452
1.76,1101.86474654363,-236.315087745452
1.77,1101.04903262916,-235.680902355771
1.78,1100.27287035537,-235.028887342239
1.78,1100.27287035537,-235.028887342239
1.79,1099.50507339561,-234.373300383217
1.8,1098.72847268621,-233.722490584002
1.8,1098.72847268621,-233.722490584002
1.81,1098.00855704054,-233.045441387922
1.82,1097.307424678,-232.360318610777
1.82,1097.307424678,-232.360318610777
1.83,1096.69101941404,-231.636252076235
1.84,1096.03381477728,-230.931516019679
1.84,1096.03381477728,-230.931516019679
1.85,1095.42865662467,-230.203448195985
1.86,1094.80652681871,-229.483905362525
1.86,1094.80652681871,-229.483905362525
1.87,1094.25143702031,-228.734047559394
1.88,1093.68382181,-227.990638128626
1.88,1093.68382181,-227.990638128626
1.89,1093.16949424593,-227.222765375481
1.9,1092.70831137982,-226.43044520724
1.9,1092.70831137982,-226.43044520724
1.91,1092.23319318481,-225.646384357716
1.92,1091.71667557567,-224.883238387132
1.92,1091.71667557567,-224.883238387132
1.93,1091.32742810049,-224.059743875292
1.94,1090.82971616811,-223.290095183489
1.94,1090.82971616811,-223.290095183489
1.95,1090.44434407781,-222.467960649663
1.96,1090.04022240769,-221.656158096937
1.96,1090.04022240769,-221.656158096937
1.97,1089.65088122478,-220.838280917501
1.98,1089.30750666814,-219.998950827055
1.98,1089.30750666814,-219.998950827055
1.99,1088.95522309512,-219.166106204553
2,1088.58443916844,-218.343766803249
2,1088.58443916844,-218.343766803249
2.01,1088.33600284721,-217.463442992418
2.02,1088.03815523483,-216.608946891245
2.02,1088.03815523483,-216.608946891245
2.03,1087.7518347518,-215.751175657901
2.04,1087.48046532734,-214.887610378467
2.04,1087.48046532734,-214.887610378467
2.05,1087.2076809543,-214.026406092831
2.06,1086.91759042056,-213.175924777975
2.06,1086.91759042056,-213.175924777975
2.07,1086.68536637396,-212.299055154906
2.08,1086.47382145139,-211.413543278424
2.08,1086.47382145139,-211.413543278424
2.09,1086.27133501808,-210.525817663085
2.1,1085.98084648056,-209.684410096515
2.1,1085.98084648056,-209.684410096515
2.11,1085.82163229841,-208.779060008942
2.12,1085.62697645482,-207.894180000859
2.12,1085.62697645482,-207.894180000859
2.13,1085.45671092031,-206.99918298388
2.14,1085.28442925765,-206.107884208866
2.14,1085.28442925765,-206.107884208866
2.15,1085.10021422558,-205.224471113589
2.16,1084.93628130417,-204.33348855794
2.16,1084.93628130417,-204.33348855794
2.17,1084.75646823239,-203.452925337488
2.18,1084.59562552727,-202.565198860709
2.18,1084.59562552727,-202.565198860709
2.19,1084.46296361615,-201.665652530248
2.2,1084.33069152446,-200.768461078863
2.2,1084.33069152446,-200.768461078863
2.21,1084.31425763389,-199.814844331055
2.22,1084.16434572869,-198.932187520628
2.22,1084.16434572869,-198.932187520628
2.23,1084.05572875891,-198.031275541641
2.24,1083.99220701929,-197.109641067996
2.24,1083.99220701929,-197.109641067996
2.25,1083.8713946813,-196.220620790234
2.26,1083.77866748378,-195.319744989594
2.26,1083.77866748378,-195.319744989594
2.27,1083.70079073669,-194.414122866859
2.28,1083.65352594759,-193.495267749831
2.28,1083.65352594759,-193.495267749831
2.29,1083.63718828645,-192.56335668971
2.3,1083.59771372193,-191.646680008291
2.3,1083.59771372193,-191.646680008291
2.31,1083.57278051533,-190.725263478101
2.32,1083.59410943334,-189.782896155983
2.32,1083.59410943334,-189.782896155983
2.33,1083.60344799337,-188.84998534916
2.34,1083.55659839581,-187.949925977132
2.34,1083.55659839581,-187.949925977132
2.35,1083.48601740857,-187.065457853125
2.36,1083.41452207471,-186.184173902532
2.36,1083.41452207471,-186.184173902532
2.37,1083.42382016632,-185.263768793652
2.38,1083.37545211356,-184.377509613792
2.38,1083.37545211356,-184.377509613792
2.39,1083.32298565128,-183.495837942168
2.4,1083.31729839739,-182.593167950748
2.4,1083.31729839739,-182.593167950748
2.41,1083.35576886018,-181.670456084885
2.42,1083.43842615081,-180.727260694443
2.42,1083.43842615081,-180.727260694443
2.43,1083.42016727227,-179.840664333259
2.44,1083.40790374405,-178.954813865182
2.44,1083.40790374405,-178.954813865182
2.45,1083.37285663318,-178.083774056582
2.46,1083.38258600187,-177.192712402975
2.46,1083.38258600187,-177.192712402975
2.47,1083.4943004461,-176.250559167608
2.48,1083.49151785711,-175.372829986876
2.48,1083.49151785711,-175.372829986876
2.49,1083.51021265335,-174.487220945654
2.5,1083.48758169986,-173.626938280045
2.5,1083.48758169986,-173.626938280045
2.51,1083.53791504502,-172.730848141899
2.52,1083.58205239491,-171.841643605367
2.52,1083.58205239491,-171.841643605367
2.53,1083.65608241506,-170.939634225477
2.54,1083.67102485822,-170.073086785391
2.54,1083.67102485822,-170.073086785391
2.55,1083.67061618128,-169.218285325044
2.56,1083.71118840321,-168.344797763137
2.56,1083.71118840321,-168.344797763137
2.57,1083.69214045353,-167.506813404517
2.58,1083.67099879152,-166.673540510019
2.58,1083.67099879152,-166.673540510019
2.59,1083.77487280451,-165.776325949321
2.6,1083.73121756784,-164.962156220523
2.6,1083.73121756784,-164.962156220523
2.61,1083.72346452485,-164.132202800888
2.62,1083.75045905026,-163.286368774919
2.62,1083.75045905026,-163.286368774919
2.63,1083.81629176414,-162.423371149012
2.64,1083.87240489503,-161.569083560284
2.64,1083.87240489503,-161.569083560284
2.65,1083.81690390868,-160.779157749679
2.66,1083.758741771,-159.993826204216
2.66,1083.758741771,-159.993826204216
2.67,1083.81776714273,-159.147996005941
2.68,1083.82964853243,-158.331873870179
2.68,1083.82964853243,-158.331873870179
2.69,1083.82438532584,-157.527892294057
2.7,1083.78637489926,-156.745447682948
2.7,1083.78637489926,-156.745447682948
2.71,1083.83731255148,-155.91785862086
2.72,1083.91108631605,-155.081226433829
2.72,1083.91108631605,-155.081226433829
2.73,1083.98705538421,-154.246937573271
2.74,1084.03761501589,-153.429861240535
2.74,1084.03761501589,-153.429861240535
2.75,1084.01726966216,-152.655469091113
2.76,1084.00663431397,-151.879126689055
2.76,1084.00663431397,-151.879126689055
2.77,1084.03286062778,-151.085983571794
2.78,1084.03619691584,-150.308722349271
2.78,1084.03619691584,-150.308722349271
2.79,1084.00721453111,-149.552963909529
2.8,1083.97184398341,-148.803826013947
2.8,1083.97184398341,-148.803826013947
2.81,1084.04634430462,-147.997931969363
2.82,1084.01017034552,-147.256179005112
2.82,1084.01017034552,-147.256179005112
2.83,1084.13398999391,-146.429637444001
2.84,1084.22055776145,-145.627606620573
2.84,1084.22055776145,-145.627606620573
2.85,1084.2772252877,-144.845442400506
2.86,1084.2747563159,-144.099331996122
2.86,1084.2747563159,-144.099331996122
2.87,1084.29986788726,-143.341227956608
2.88,1084.32675583177,-142.585933067652
2.88,1084.32675583177,-142.585933067652
2.89,1084.35652796838,-141.83225870859
2.9,1084.30015000334,-141.129776066205
2.9,1084.30015000334,-141.129776066205
2.91,1084.32402336362,-140.386172164979
2.92,1084.31691649774,-139.663258826972
2.92,1084.31691649774,-139.663258826972
2.93,1084.39233449477,-138.897741855023
2.94,1084.42526657452,-138.15965734104
2.94,1084.42526657452,-138.15965734104
2.95,1084.45437541863,-137.426379735946
2.96,1084.44973767822,-136.715430589533
2.96,1084.44973767822,-136.715430589533
2.97,1084.52880203262,-135.961523530046
2.98,1084.51742616597,-135.26178689623
2.98,1084.51742616597,-135.26178689623
2.99,1084.5484502209,-134.541307035934
3,1084.4628069403,-133.889056573199
3,1084.4628069403,-133.889056573199
3.01,1084.42910823958,-133.210866200366
3.02,1084.44215334977,-132.509824850083
3.02,1084.44215334977,-132.509824850083
3.03,1084.41911904053,-131.832382708653
3.04,1084.39350817626,-131.15955448526
3.04,1084.39350817626,-131.15955448526
3.05,1084.37542978558,-130.485473899627
3.06,1084.33080664383,-129.829663064604
3.06,1084.33080664383,-129.829663064604
3.07,1084.35570326738,-129.137790150252
3.08,1084.3476495387,-128.467668825677
3.08,1084.3476495387,-128.467668825677
3.09,1084.33020436841,-127.806330717549
3.1,1084.31863368143,-127.145277869582
3.1,1084.31863368143,-127.145277869582
3.11,1084.34162807811,-126.46725298469
3.12,1084.3341014043,-125.80961509798
3.12,1084.3341014043,-125.80961509798
3.13,1084.3835316824,-125.123384664141
3.14,1084.31260408839,-124.507768519072
3.14,1084.31260408839,-124.507768519072
3.15,1084.29535548806,-123.864802770743
3.16,1084.2787170689,-123.224938044494
3.16,1084.2787170689,-123.224938044494
3.17,1084.30162174785,-122.56605012979
3.18,1084.40816307446,-121.863500389398
3.18,1084.40816307446,-121.863500389398
3.19,1084.32213086583,-121.272063665045
3.2,1084.18578475254,-120.712002371414
3.2,1084.18578475254,-120.712002371414
3.21,1084.16129277418,-120.091807947136
3.22,1084.07969835919,-119.506909452501
3.22,1084.07969835919,-119.506909452501
3.23,1084.10589789,-118.863960297803
3.24,1084.0645762913,-118.262318210094
3.24,1084.0645762913,-118.262318210094
3.25,1084.0896712029,-117.626310435364
3.26,1084.0812552815,-117.012050337003
3.26,1084.0812552815,-117.012050337003
3.27,1084.07540373288,-116.399630725786
3.28,1084.00039638402,-115.828927959896
