timestamp,minValue,maxValue,mean,stdDev,nSamples
8636932592,9.09090614,11.5044231,10.5024157,1.20436144,4
8637932596,9.09090614,11.5044231,10.7056656,0.985345542,5
8638932604,9.9099102,12.2807026,10.7058201,0.96790278,5
8639932608,8.25688267,11.5044231,10.5388603,1.33543944,5
8640932612,10.7142868,13.0434809,11.4941196,1.09801412,4
8641932616,9.09090614,11.5044231,10.5447903,1.04730248,5
8642932620,8.25688267,11.5044231,10.377985,1.35729444,5
8643932624,9.9099102,11.5044231,10.7114391,0.563759208,5
8644932628,9.9099102,11.5044231,10.7107267,0.650970161,4
8645932632,9.09090614,12.2807026,10.6944265,1.48616552,5
8646932640,9.09090614,12.2807026,10.37537,1.45098257,5
8647932644,9.9099102,12.2807026,10.9012365,1.18774521,4
8648932648,9.09090614,11.5044231,10.5447903,1.04730272,5
8649932652,9.9099102,12.2807026,10.5449448,1.03093886,5
8650932656,8.25688267,11.5044231,10.2199583,1.23373091,5
8651932672,10.7142868,12.2807026,11.3034248,0.750475109,4
8652932668,9.09090614,12.2807026,10.8580732,1.31161189,5
8653932672,9.09090614,11.5044231,10.3867626,0.917924523,5
8654932676,9.9099102,11.5044231,10.7107267,0.650970161,4
8655932680,9.09090614,11.5044231,10.702817,1.13519549,5
8656932684,9.09090614,12.2807026,10.2173424,1.33572447,5
8657932688,9.09090614,12.2807026,10.37537,1.45098257,5
8658932696,10.7142868,11.5044231,11.3068886,0.395068318,4
8659932700,9.09090614,12.2807026,10.5420179,1.18191183,5
8660932704,9.9099102,13.0434809,10.6974993,1.35690808,5
8661932708,9.9099102,12.2807026,10.5026083,1.18539619,4
8662932712,9.9099102,12.2807026,10.5449438,1.03093898,5
8663932716,9.09090614,11.5044231,10.5447903,1.04730272,5
8664932724,9.09090614,12.2807026,10.3782177,1.33787847,5
8665932728,9.9099102,12.2807026,11.1023312,1.02024233,4
8666932732,9.09090614,12.2807026,10.7000456,1.26088727,5
8667932736,9.9099102,13.7931051,10.8474245,1.68311894,5
8668932740,9.09090614,11.5044231,10.5059757,1.01424956,4
8669932748,9.09090614,11.5044231,10.7056656,0.985345662,5
8670932752,9.9099102,12.2807026,10.5449448,1.03093886,5
8671932756,9.09090614,11.5044231,10.5447893,1.04730225,5
8672932760,10.7142868,13.0434809,11.4941196,1.09801424,4
8673932764,9.9099102,12.2807026,11.0191031,1.19758058,5
8674932768,9.09090614,13.0434809,10.6917267,1.57926607,5
8675932772,9.09090614,11.5044231,10.5059757,1.01424956,4
8676932776,9.9099102,12.2807026,11.1827497,0.901668549,5
8677932784,9.09090614,12.2807026,10.5420189,1.18191183,5
8678932788,9.09090614,11.5044231,10.5447893,1.04730225,5
8679932820,9.9099102,13.0434809,11.4870958,1.43025565,4
8680932796,9.09090614,13.0434809,10.6917267,1.57926607,5
8681932800,9.09090614,13.0434809,10.6917267,1.57926607,5
8682932804,9.9099102,11.5044231,10.7071667,0.920592487,4
8683932812,9.09090614,11.5044231,10.8636932,1.04841542,5
8684932816,9.09090614,12.2807026,10.5420179,1.18191183,5
