magneticFieldTimestamp,magneticFieldX,magneticFieldY,magneticFieldZ,temperatureTimestamp,temp
8434647804,-0.0390000008,0.453000009,0.407999992,0,43.25
8434656840,-0.0434999987,0.451499999,0.412499994,0,43.25
8434667808,-0.0434999987,0.453000009,0.411000013,8434667788,43.25
8434676840,-0.0434999987,0.453000009,0.411000013,0,43.25
8434687804,-0.0434999987,0.450000018,0.407999992,0,43.25
8434696844,-0.0434999987,0.450000018,0.407999992,0,43.25
8434707800,-0.0405000001,0.460500002,0.409500003,0,43.25
8434716852,-0.0405000001,0.460500002,0.409500003,8434716828,43.25
8434728604,-0.0434999987,0.451499999,0.406500012,0,43.25
8434736852,-0.0434999987,0.451499999,0.406500012,0,43.25
8434747812,-0.0419999994,0.448500007,0.406500012,0,43.25
8434756848,-0.0450000018,0.450000018,0.411000013,0,43.25
8434767816,-0.0480000004,0.45449999,0.407999992,8434767792,43.375
8434776848,-0.0450000018,0.453000009,0.405000001,0,43.375
8434787816,-0.0434999987,0.45449999,0.411000013,0,43.375
8434796844,-0.0450000018,0.45449999,0.412499994,0,43.375
8434807800,-0.0375000015,0.456,0.406500012,0,43.375
8434816852,-0.0405000001,0.45449999,0.406500012,8434816832,43.375
8434827808,-0.0465000011,0.45449999,0.409500003,0,43.375
8434836848,-0.0390000008,0.456,0.406500012,0,43.375
8434847808,-0.0359999985,0.450000018,0.407999992,0,43.375
8434856844,-0.0419999994,0.451499999,0.414000005,0,43.375
8434867872,-0.0465000011,0.457500011,0.412499994,8434867848,43.25
8434876844,-0.0434999987,0.451499999,0.411000013,0,43.25
8434887748,-0.0434999987,0.450000018,0.411000013,0,43.25
8434896844,-0.0465000011,0.456,0.405000001,0,43.25
8434907800,-0.0450000018,0.45449999,0.406500012,0,43.25
8434916852,-0.0480000004,0.45449999,0.403499991,8434916832,43.25
8434928604,-0.0450000018,0.45449999,0.395999998,0,43.25
8434936848,-0.0465000011,0.45449999,0.406500012,0,43.25
8434947812,-0.0450000018,0.45449999,0.414000005,0,43.25
8434956844,-0.0405000001,0.453000009,0.406500012,0,43.25
8434967872,-0.0434999987,0.457500011,0.403499991,8434967852,43.375
8434976848,-0.0450000018,0.457500011,0.40200001,0,43.375
8434987752,-0.050999999,0.453000009,0.406500012,0,43.375
8434996844,-0.0465000011,0.453000009,0.416999996,0,43.375
8435007804,-0.0419999994,0.453000009,0.414000005,0,43.375
8435016856,-0.0434999987,0.45449999,0.406500012,8435016832,43.125
8435027808,-0.0419999994,0.45449999,0.406500012,0,43.125
8435036848,-0.0419999994,0.456,0.411000013,0,43.125
8435047812,-0.0390000008,0.460500002,0.409500003,0,43.125
8435056844,-0.0375000015,0.457500011,0.405000001,0,43.125
8435067872,-0.0375000015,0.45449999,0.405000001,8435067852,43.25
8435076848,-0.0434999987,0.45449999,0.403499991,0,43.25
8435087756,-0.0450000018,0.45449999,0.407999992,0,43.25
8435096844,-0.0465000011,0.451499999,0.412499994,0,43.25
8435107804,-0.0434999987,0.45449999,0.409500003,0,43.25
8435116856,-0.0375000015,0.453000009,0.407999992,8435116832,43.25
8435128612,-0.0405000001,0.448500007,0.407999992,0,43.25
8435136848,-0.0419999994,0.450000018,0.411000013,0,43.25
8435147808,-0.0434999987,0.453000009,0.412499994,0,43.25
8435156844,-0.0494999997,0.453000009,0.409500003,0,43.25
8435167868,-0.0419999994,0.453000009,0.409500003,8435167848,43.5
8435176848,-0.0419999994,0.457500011,0.414000005,0,43.5
8435187816,-0.0465000011,0.45449999,0.412499994,0,43.5
8435196844,-0.0494999997,0.451499999,0.407999992,0,43.5
8435207744,-0.0480000004,0.453000009,0.411000013,0,43.5
8435216856,-0.0465000011,0.453000009,0.406500012,8435216832,43.25
8435227804,-0.0434999987,0.460500002,0.405000001,0,43.25
8435236848,-0.0434999987,0.460500002,0.405000001,0,43.25
8435247812,-0.0405000001,0.463499993,0.407999992,0,43.25
8435256848,-0.0405000001,0.463499993,0.407999992,0,43.25
8435267872,-0.0419999994,0.460500002,0.406500012,8435267848,43.25
8435276848,-0.0419999994,0.460500002,0.406500012,0,43.25
8435287808,-0.0450000018,0.462000012,0.412499994,0,43.25
