timestamp,mslAltitude,aglAltitude,verticalSpeed,x0,x1,x2
8436926680,1137.81714,4.35717773,0.0555776022,88382.1562,-0.597724855,0.391814053
8436946860,1137.80127,4.34130859,0.0424972922,88382.3281,-0.457049727,0.424554318
8436966856,1137.97302,4.51306152,0.162866399,88380.4766,-1.75156534,0.102622792
8436986860,1137.97302,4.51306152,0.159293339,88380.5,-1.71313882,0.111631259
8437006852,1137.81445,4.35449219,0.0452624522,88382.1953,-0.486787945,0.415514588
8437026860,1137.78809,4.328125,0.0260676797,88382.4688,-0.28035298,0.464812636
8437046704,1137.79333,4.33337402,0.0273626819,88382.4297,-0.29428038,0.459020853
8437066700,1137.63745,4.17749023,-0.0841114223,88384.0859,0.90461576,0.756392539
8437086704,1137.61902,4.15905762,-0.0989076421,88384.3047,1.06375098,0.792466938
8437106704,1137.57935,4.11938477,-0.126480982,88384.7188,1.36030722,0.862937868
8437126708,1137.46301,4.00305176,-0.210224643,88385.9766,2.2609992,1.08519566
8437146676,1137.51331,4.05334473,-0.172684699,88385.4375,1.85724175,0.977931499
8437166676,1137.50269,4.04272461,-0.178644165,88385.5391,1.92133832,0.989183247
8437186680,1137.46838,4.00842285,-0.20278503,88385.9062,2.1809833,1.04990327
8437206676,1137.55029,4.09033203,-0.142016292,88385.0312,1.52739418,0.87879318
8437226684,1137.58984,4.12988281,-0.112822279,88384.6094,1.21340609,0.794526339
8437246860,1137.54761,4.08764648,-0.143867031,88385.0703,1.54729962,0.875502706
8437266856,1137.62695,4.16699219,-0.0843375772,88384.2031,0.907049119,0.707692444
8437286860,1137.62427,4.16430664,-0.0871605426,88384.2422,0.937410474,0.711835086
8437306860,1137.74316,4.28320312,0.000238965076,88382.9609,-0.00257003587,0.46748963
8437326860,1137.97034,4.51037598,0.167451277,88380.5156,-1.80087447,0.00377005129
8437346704,1138.19238,4.73242188,0.329615593,88378.125,-3.5448122,-0.444417626
8437366704,1138.27161,4.81164551,0.385088295,88377.2656,-4.14135408,-0.595700085
8437386704,1138.4751,5.01513672,0.530221939,88375.0938,-5.70205164,-0.995094895
8437406700,1138.38794,4.92797852,0.459967971,88376.0156,-4.94657612,-0.794806063
8437426708,1138.20825,4.74829102,0.319864273,88377.9531,-3.43993735,-0.400865436
8437446680,1138.15271,4.69274902,0.273661911,88378.5547,-2.94307661,-0.270020276
8437466680,1138.14209,4.68212891,0.261843115,88378.6719,-2.81597543,-0.235625863
8437486680,1138.13428,4.67431641,0.251849145,88378.7656,-2.70849824,-0.206458002
8437506680,1137.95459,4.49462891,0.11338535,88380.6953,-1.21941829,0.182358384
8437526688,1137.89905,4.43908691,0.0699614882,88381.2891,-0.752414405,0.303195596
8437546860,1137.88318,4.42321777,0.0575055741,88381.4453,-0.618455827,0.336598784
8437566856,1137.7511,4.2911377,-0.0453247242,88382.8828,0.487460732,0.624103844
8437586860,1137.78809,4.328125,-0.0165252294,88382.4688,0.177725717,0.539701939
8437606856,1137.87524,4.4152832,0.0491423681,88381.5234,-0.528512299,0.351614326
8437626864,1137.71143,4.25146484,-0.0783131793,88383.3125,0.84224999,0.709840834
