timestamp,estimatedMass,estimatedApogee,detectedShutdowns,state
8649787676,28.9286232,101.693855,0,4
8649807672,28.9286232,100.9561,0,4
8649827680,28.9286232,104.74057,0,4
8649847848,28.9286232,103.31575,0,4
8649867824,28.9286232,102.82148,0,4
8649887828,28.9286232,103.698746,0,4
8649907824,28.9286232,102.318199,0,4
8649927824,28.9286232,102.515495,0,4
8649947808,28.9286232,103.101913,0,4
8649967804,28.9286232,101.002304,0,4
8649987808,28.9286232,100.685257,0,4
8650007804,28.9286232,102.352524,0,4
8650027808,28.9286232,100.533363,0,4
8650047676,28.9286232,100.533363,0,4
8650067676,28.9286232,100.042053,0,4
8650087676,28.9286232,100.16333,0,4
8650107672,28.9286232,100.689499,0,4
8650127680,28.9286232,99.3236771,0,4
8650147824,28.9286232,99.2565231,0,4
8650167820,28.9286232,98.2669754,0,4
8650187828,28.9286232,97.7513504,0,4
8650207824,28.9286232,98.6240997,0,4
8650227828,28.9286232,97.2069092,0,4
8650247808,28.9286232,96.8913574,0,4
8650267804,28.9286232,97.1100616,0,4
8650287808,28.9286232,95.7102051,0,4
8650307804,28.9286232,94.011879,0,4
8650327812,28.9286232,94.4301453,0,4
8650347676,28.9286232,94.4301453,0,4
8650367676,28.9286232,93.5464783,0,4
8650387676,28.9286232,93.2718353,0,4
8650407676,28.9286232,93.6933136,0,4
8650427680,28.9286232,94.8002396,0,4
8650447828,28.9286232,95.0597992,0,4
8650467828,28.9286232,93.6278076,0,4
8650487828,28.9286232,93.289032,0,4
8650507824,28.9286232,94.5823441,0,4
8650527844,28.9286232,93.2626877,0,4
8650547808,28.9286232,92.5620422,0,4
8650567804,28.9286232,93.2008591,0,4
8650587812,28.9286232,92.0348587,0,4
8650607808,28.9286232,92.418396,0,4
8650627812,28.9286232,93.6615524,0,4
8650647676,28.9286232,93.6615524,0,4
8650667680,28.9286232,93.1123199,0,4
8650687676,28.9286232,92.2095642,0,4
8650707676,28.9286232,94.211174,0,4
8650727684,28.9286232,92.1708527,0,4
8650747832,28.9286232,93.0708847,0,4
8650767824,28.9286232,91.8869171,0,4
8650787828,28.9286232,91.6755905,0,4
8650807824,28.9286232,92.6069641,0,4
8650827832,28.9286232,91.3587494,0,4
8650847808,28.9286232,91.1041641,0,4
8650867804,28.9286232,91.566925,0,4
8650887808,28.9286232,90.399231,0,4
8650907804,28.9286232,88.4674759,0,4
8650927812,28.9286232,88.7894592,0,4
8650947680,28.9286232,88.7894592,0,4
8650967680,28.9286232,88.1008453,0,4
8650987680,28.9286232,87.6037827,0,4
8651007680,28.9286232,88.0385666,0,4
8651027688,28.9286232,90.0545044,0,4
8651047832,28.9286232,90.8727493,0,4
8651067828,28.9286232,90.7008057,0,4
8651087832,28.9286232,90.3013611,0,4
8651107828,28.9286232,90.5213928,0,4
8651127832,28.9286232,89.8865662,0,4
8651147808,28.9286232,89.5471191,0,4
